HEADER,,,,,,,
Name:,Practice,,,,,,
Type:,Fitts's Law Simulation ,,,,,,
PARAMETERS,,,,,,,
Hand:,right,,,,,,
Gain:,1,,,,,,
Player Size,10,10,10,,,,
CUBES,Name,x,y,z,xWidth,yHeight,zLength
8,8,50,50,200,16,16,16
17,17,0,70,125,8,8,8
29,29,50,100,200,48,48,48
38,38,-30,100,100,2,2,2
77,77,0,100,100,16,16,16
91,91,50,150,125,48,48,48
82,82,50,100,175,16,16,16
15,15,10,90,175,2,2,2
13,13,-50,50,125,8,8,8
66,66,-30,130,175,2,2,2
END,,,,,,,
