HEADER,,,,,,,
Name:,Main Input ,,,,,,
Type:,Fitts's Law Simulation ,,,,,,
PARAMETERS,,,,,,,
Hand:,right,,,,,,
Gain:,1,,,,,,
Player Size,5,5,5,,,,
CUBES,Name,x,y,z,xWidth,yHeight,zLength
1,1,0,140,150,5,5,5
2,2,0,140,150,5,5,5
3,3,0,140,150,5,5,5
4,4,0,140,150,5,5,5
5,5,0,140,150,5,5,5
6,6,0,60,150,5,5,5
7,7,0,60,150,5,5,5
8,8,0,60,150,5,5,5
9,9,0,60,150,5,5,5
10,10,0,140,150,5,5,5
11,11,0,60,150,5,5,5
12,12,0,60,150,5,5,5
13,13,0,60,150,5,5,5
14,14,0,140,150,5,5,5
15,15,0,140,150,5,5,5
16,16,0,60,150,5,5,5
17,17,0,60,150,5,5,5
18,18,0,60,150,5,5,5
19,19,0,140,150,5,5,5
20,20,0,140,150,5,5,5
END,,,,,,,
